(93,0)	-0.01016235	(351.1, 146.2, 1935.8)
(91,5)	-0.01605225	(348.6, 146.3, 1942.1)
(231,9)	-0.2737885	(523.6, 145.4, 1947.1)
(296,9)	-0.1447449	(604.8, 142.8, 1947.1)
(291,10)	-0.01164246	(598.6, 142.2, 1948.3)
(292,10)	-0.08131409	(599.8, 142.8, 1948.3)
(227,11)	-0.009979248	(518.6, 146.0, 1949.6)
(228,11)	-0.1521149	(519.8, 145.9, 1949.6)
(146,12)	-8.538757	(417.3, 157.0, 1950.8)
(221,12)	-0.06085205	(511.1, 146.4, 1950.8)
(241,12)	-0.003173828	(536.1, 144.4, 1950.8)
(260,12)	-0.01264954	(559.8, 143.4, 1950.8)
(293,12)	-0.02394104	(601.1, 142.7, 1950.8)
(147,13)	-7.998474	(418.6, 156.6, 1952.1)
(221,13)	-0.258255	(511.1, 146.9, 1952.1)
(235,13)	-0.001190186	(528.6, 144.8, 1952.1)
(237,13)	-0.575119	(531.1, 145.3, 1952.1)
(227,14)	-0.09985352	(518.6, 146.4, 1953.3)
(234,14)	-6.103516E-05	(527.3, 145.0, 1953.3)
(238,14)	-0.04916382	(532.3, 144.6, 1953.3)
(69,15)	-0.1131744	(321.1, 145.8, 1954.6)
(71,15)	-0.08662415	(323.6, 145.9, 1954.6)
(75,15)	-0.1029663	(328.6, 146.2, 1954.6)
(79,15)	-0.1302032	(333.6, 146.5, 1954.6)
(81,15)	-0.3243103	(336.1, 146.8, 1954.6)
(83,15)	-0.3864288	(338.6, 147.0, 1954.6)
(85,15)	-0.4001312	(341.1, 147.1, 1954.6)
(113,15)	-1.766922	(376.1, 149.7, 1954.6)
(115,15)	-0.6443634	(378.6, 148.5, 1954.6)
(117,15)	-1.143036	(381.1, 149.1, 1954.6)
(251,15)	-2.801712	(548.6, 147.1, 1954.6)
(290,15)	-0.005966187	(597.3, 142.2, 1954.6)
(16,16)	-0.02441406	(254.8, 144.2, 1955.8)
(23,16)	-6.166748	(263.6, 150.4, 1955.8)
(25,16)	-6.18013	(266.1, 150.4, 1955.8)
(73,16)	-0.3428497	(326.1, 146.5, 1955.8)
(77,16)	-0.01385498	(331.1, 146.5, 1955.8)
(243,16)	-0.004776001	(538.6, 144.5, 1955.8)
(290,16)	-0.01997375	(597.3, 142.2, 1955.8)
(25,17)	-6.230606	(266.1, 150.4, 1957.1)
(71,17)	-6.283981	(323.6, 152.3, 1957.1)
(82,17)	-0.001144409	(337.3, 146.7, 1957.1)
(118,17)	-6.200989	(382.3, 154.3, 1957.1)
(119,17)	-6.16832	(383.6, 154.3, 1957.1)
(221,17)	-0.3005676	(511.1, 147.3, 1957.1)
(222,17)	-0.2356873	(512.3, 147.2, 1957.1)
(224,17)	-0.07115173	(514.8, 146.9, 1957.1)
(240,17)	-0.01641846	(534.8, 144.7, 1957.1)
(290,17)	-0.01930237	(597.3, 142.2, 1957.1)
(36,18)	-0.02258301	(279.8, 144.3, 1958.3)
(38,18)	-0.004730225	(282.3, 144.4, 1958.3)
(69,18)	-6.626221	(321.1, 152.3, 1958.3)
(71,18)	-5.165253	(323.6, 151.0, 1958.3)
(175,18)	-1.331451	(453.6, 151.3, 1958.3)
(177,18)	-0.8344879	(456.1, 150.8, 1958.3)
(290,18)	-0.0113678	(597.3, 142.2, 1958.3)
(65,19)	-0.01301575	(316.1, 145.4, 1959.6)
(120,19)	-0.2487793	(384.8, 148.5, 1959.6)
(158,19)	-0.0123291	(432.3, 150.0, 1959.6)
(163,19)	-0.03190613	(438.6, 150.0, 1959.6)
(167,19)	-1.333801	(443.6, 151.5, 1959.6)
(173,19)	-0.3261261	(451.1, 150.4, 1959.6)
(247,19)	-2.756027	(543.6, 147.1, 1959.6)
(290,19)	-0.0008392334	(597.3, 142.2, 1959.6)
(11,20)	-0.03625488	(248.6, 144.0, 1960.8)
(17,20)	-0.04023743	(256.1, 144.0, 1960.8)
(157,20)	-0.02528381	(431.1, 150.1, 1960.8)
(245,20)	-0.006881714	(541.1, 144.3, 1960.8)
(289,20)	-0.006622314	(596.1, 142.2, 1960.8)
(293,20)	-0.01861572	(601.1, 142.1, 1960.8)
(16,21)	-0.001296997	(254.8, 144.0, 1962.1)
(17,21)	-0.003463745	(256.1, 144.0, 1962.1)
(50,21)	-0.0100708	(297.3, 144.6, 1962.1)
(149,21)	-0.00958252	(421.1, 150.1, 1962.1)
(177,21)	-2.955139	(456.1, 153.2, 1962.1)
(181,21)	-3.065063	(461.1, 153.2, 1962.1)
(284,21)	-0.0315094	(589.8, 142.2, 1962.1)
(285,21)	-0.01847839	(591.1, 142.2, 1962.1)
(286,21)	-0.006210327	(592.3, 142.2, 1962.1)
(293,21)	-0.00819397	(601.1, 142.1, 1962.1)
(9,22)	-0.001159668	(246.1, 144.0, 1963.3)
(257,22)	-0.01806641	(556.1, 143.9, 1963.3)
(271,22)	-0.02703857	(573.6, 143.3, 1963.3)
(292,22)	-0.02233887	(599.8, 142.1, 1963.3)
(158,23)	-3.136108	(432.3, 153.2, 1964.6)
(163,23)	-0.006622314	(438.6, 150.1, 1964.6)
(173,23)	-0.08436584	(451.1, 150.2, 1964.6)
(176,23)	-3.015472	(454.8, 153.2, 1964.6)
(183,23)	-0.002487183	(463.6, 150.1, 1964.6)
(293,23)	-0.001190186	(601.1, 142.1, 1964.6)
(148,24)	-0.006225586	(419.8, 150.0, 1965.8)
(159,24)	-0.01417542	(433.6, 150.1, 1965.8)
(120,25)	-0.09454346	(384.8, 149.1, 1967.1)
(148,25)	-0.06829834	(419.8, 150.0, 1967.1)
(149,25)	-0.05508423	(421.1, 150.2, 1967.1)
(150,25)	-0.0009002686	(422.3, 150.2, 1967.1)
(151,25)	-0.02638245	(423.6, 150.2, 1967.1)
(162,25)	-0.03317261	(437.3, 150.1, 1967.1)
(176,25)	-2.934509	(454.8, 153.2, 1967.1)
(225,25)	-1.996902	(516.1, 149.0, 1967.1)
(282,25)	-0.05895996	(587.3, 142.2, 1967.1)
(163,26)	-0.007751465	(438.6, 150.2, 1968.3)
(238,26)	-0.04664612	(532.3, 146.1, 1968.3)
(241,26)	-0.009155273	(536.1, 146.0, 1968.3)
(80,27)	-0.00617981	(334.8, 146.4, 1969.6)
(83,27)	-0.02613831	(338.6, 146.7, 1969.6)
(120,27)	-0.1767426	(384.8, 149.2, 1969.6)
(121,27)	-0.007202148	(386.1, 149.2, 1969.6)
(153,27)	-2.972794	(426.1, 153.3, 1969.6)
(155,27)	-2.977844	(428.6, 153.3, 1969.6)
(157,27)	-2.982864	(431.1, 153.3, 1969.6)
(158,27)	-3.085388	(432.3, 153.3, 1969.6)
(160,27)	-3.051758E-05	(434.8, 150.2, 1969.6)
(165,27)	-2.876709	(441.1, 153.2, 1969.6)
(177,27)	-0.06040955	(456.1, 150.4, 1969.6)
(179,27)	-0.0559845	(458.6, 150.4, 1969.6)
(202,27)	-0.1637573	(487.3, 150.7, 1969.6)
(227,27)	-0.2451935	(518.6, 147.8, 1969.6)
(240,27)	-0.01528931	(534.8, 146.2, 1969.6)
(75,28)	-3.169159	(328.6, 149.5, 1970.8)
(77,28)	-3.225632	(331.1, 149.5, 1970.8)
(79,28)	-3.179642	(333.6, 149.6, 1970.8)
(281,28)	-0.00189209	(586.1, 142.0, 1970.8)
(74,29)	-3.168533	(327.3, 149.5, 1972.1)
(84,29)	-3.276215	(339.8, 150.2, 1972.1)
(204,29)	-0.01852417	(489.8, 151.0, 1972.1)
(210,29)	-0.4589081	(497.3, 150.6, 1972.1)
(242,29)	-0.5626984	(537.3, 146.6, 1972.1)
(244,29)	-0.2455292	(539.8, 146.0, 1972.1)
(100,30)	-0.01016235	(359.8, 147.2, 1973.3)
(216,30)	-0.04434204	(504.8, 149.6, 1973.3)
(235,30)	-0.4063873	(528.6, 147.2, 1973.3)
(74,31)	-0.02445984	(327.3, 146.3, 1974.6)
(84,31)	-3.290253	(339.8, 150.2, 1974.6)
(121,31)	-0.2075806	(386.1, 149.5, 1974.6)
(207,31)	-0.02526855	(493.6, 151.5, 1974.6)
(209,31)	-0.01463318	(496.1, 150.5, 1974.6)
(212,31)	-0.05195618	(499.8, 150.0, 1974.6)
(215,31)	-0.05795288	(503.6, 149.7, 1974.6)
(285,31)	-0.004821777	(591.1, 142.1, 1974.6)
(153,32)	-0.01515198	(426.1, 151.5, 1975.8)
(197,32)	-0.4561768	(481.1, 151.9, 1975.8)
(244,32)	-0.2744293	(539.8, 146.8, 1975.8)
(246,32)	-0.3454285	(542.3, 146.6, 1975.8)
(276,32)	-0.004592896	(579.8, 142.0, 1975.8)
(285,32)	-0.01220703	(591.1, 142.1, 1975.8)
(39,33)	-0.01979065	(283.6, 144.1, 1977.1)
(74,33)	-0.03587341	(327.3, 146.3, 1977.1)
(84,33)	-3.304291	(339.8, 150.2, 1977.1)
(94,33)	-3.27597	(352.3, 150.4, 1977.1)
(152,33)	-3.103882	(424.8, 154.6, 1977.1)
(209,33)	-0.03607178	(496.1, 151.5, 1977.1)
(246,33)	-0.1668243	(542.3, 146.7, 1977.1)
(93,34)	-0.005432129	(351.1, 147.1, 1978.3)
(200,34)	-0.06817627	(484.8, 152.2, 1978.3)
(234,34)	-0.1590424	(527.3, 148.3, 1978.3)
(236,34)	-0.02542114	(529.8, 148.0, 1978.3)
(241,34)	-0.2960968	(536.1, 147.5, 1978.3)
(245,34)	-0.1463013	(541.1, 146.6, 1978.3)
(74,35)	-0.04206848	(327.3, 146.3, 1979.6)
(84,35)	-3.318329	(339.8, 150.2, 1979.6)
(94,35)	-3.191299	(352.3, 150.4, 1979.6)
(207,35)	-0.03009033	(493.6, 152.3, 1979.6)
(220,35)	-0.003814697	(509.8, 150.5, 1979.6)
(225,35)	-0.1608734	(516.1, 149.6, 1979.6)
(201,36)	-0.1395569	(486.1, 153.1, 1980.8)
(224,36)	-0.1422882	(514.8, 150.4, 1980.8)
(233,36)	-0.2615509	(526.1, 148.7, 1980.8)
